id_est;cod_param;altura;id_reg
247;RAIN;;V
247;RAIN;4;V
247;RHUM;2;V
247;RHUM;3;V
247;RHUM;;V
247;TEMP;;V
247;TEMP;10;V
247;TEMP;2;V
247;WDIR;10;V
247;WDIR;;V
247;WSPD;;V
247;WSPD;10;V
290;PM10;;M
290;PM25;;M
116;0001;;M
116;0002;;M
116;0003;;M
116;0004;;M
116;0008;;M
116;0NOX;;M
116;PM10;;M
116;PM25;;M
116;RHUM;3;M
116;RHUM;;M
116;TEMP;;M
116;TEMP;3;M
116;WDIR;10;M
116;WDIR;;M
116;WSPD;;M
116;WSPD;10;M
228;0001;;M
228;0002;;M
228;0003;;M
228;0004;;M
228;0008;;M
228;0NOX;;M
228;PM10;;M
228;PM25;;M
228;RHUM;3;M
228;RHUM;;M
228;TEMP;;M
228;TEMP;3;M
228;WDIR;10;M
228;WDIR;;M
228;WSPD;;M
228;WSPD;10;M
260;0001;;M
260;0002;;M
260;0003;;M
260;0004;;M
260;0008;;M
260;0NOX;;M
260;PM10;;M
260;PM25;;M
260;RHUM;;M
260;RHUM;3;M
260;TEMP;;M
260;TEMP;3;M
260;WDIR;;M
260;WDIR;10;M
260;WSPD;;M
260;WSPD;10;M
272;0001;;M
272;0002;;M
272;0003;;M
272;0004;;M
272;0008;;M
272;0NOX;;M
272;PM10;;M
272;PM1D;;M
272;PM25;;M
272;PM2D;;M
272;RHUM;;M
272;RHUM;3;M
272;TEMP;;M
272;TEMP;3;M
272;WDIR;;M
272;WDIR;10;M
272;WSPD;;M
272;WSPD;10;M
262;0001;;M
262;0002;;M
262;0003;;M
262;0004;;M
262;0008;;M
262;0NOX;;M
262;PM10;;M
262;PM25;;M
262;RHUM;;M
262;RHUM;3;M
262;TEMP;3;M
262;TEMP;;M
262;WDIR;10;M
262;WDIR;;M
262;WSPD;10;M
262;WSPD;;M
289;PM1D;;M
239;0001;;M
239;0002;;M
239;0003;;M
239;0004;;M
239;0008;;M
239;0NOX;;M
239;CORG;;M
239;CTOT;;M
239;PM10;;M
239;PM1D;;M
239;PM25;;M
239;PM2D;;M
239;RHUM;;M
239;RHUM;3;M
239;TEMP;;M
239;TEMP;2;M
239;TEMP;3;M
239;WDIR;;M
239;WDIR;10;M
239;WSPD;;M
239;WSPD;10;M
190;0001;;M
190;0002;;M
190;0003;;M
190;0004;;M
190;0008;;M
190;0NOX;;M
190;CORG;;M
190;CTOT;;M
190;PM10;;M
190;PM25;;M
190;RHUM;;M
190;RHUM;3;M
190;TEMP;;M
190;TEMP;3;M
190;WDIR;;M
190;WDIR;10;M
190;WSPD;;M
190;WSPD;10;M
233;0001;;M
233;0002;;M
233;0003;;M
233;0004;;M
233;0008;;M
233;0NOX;;M
233;PM10;;M
233;PM25;;M
233;RHUM;;M
233;RHUM;3;M
233;TEMP;;M
233;TEMP;3;M
233;WDIR;;M
233;WDIR;10;M
233;WSPD;;M
